Alcatel 1 (5033FR) 16
Alcatel 1 (5033D) 8
Apple iPhone 11 128
Apple iPhone 11 256
Apple iPhone 11 64
Apple iPhone 11 Pro 256
Apple iPhone 11 Pro 512
Apple iPhone 11 Pro 64
Apple iPhone 11 Pro Max 256
Apple iPhone 11 Pro Max 512
Apple iPhone 11 Pro Max 64
Apple iPhone 12 128
Apple iPhone 12 256
Apple iPhone 12 64
Apple iPhone 12 mini 128
Apple iPhone 12 mini 256
Apple iPhone 12 mini 64
Apple iPhone 12 Pro 128
Apple iPhone 12 Pro 256
Apple iPhone 12 Pro 512
Apple iPhone 12 Pro Max 128
Apple iPhone 12 Pro Max 256
Apple iPhone 12 Pro Max 512
Apple iPhone 13 128
Apple iPhone 13 256
